stratum,feature_family,feature_id,relative_day,n_success,n_control,success_mean,control_mean,success_median,control_median,median_difference,mean_difference,standardized_mean_difference,distribution_overlap,trimmed_mean_difference,outlier_dependence,market_direction_consistency,temporal_direction_consistency,classification,classification_reason,outcome_derived_feature_used
T5_GE_3,TREND_STRUCTURE,ma_alignment_bearish,0,6785,6785,0.4585114222549742,0.2937361827560796,0.0,0.0,0.0,0.1647752394988946,0.34518448314044226,0.8352247605011054,0.20593111070178668,1.2497697550193405,1.0,1.0,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_5D,-20,6785,6785,0.006177486238544336,0.0045896753212566815,-0.0022988505747126436,-0.0027247956403269754,0.00042594506561433173,0.001587810917287654,0.023198887597348058,0.9622697126013265,0.0007846916826888656,0.49419718314401023,1.0,1.0,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_5D,-10,6785,6785,0.007776193864636131,0.008525791145557585,0.0011013215859030838,0.0,0.0011013215859030838,-0.0007495972809214539,-0.010616374507636089,0.9607958732498155,0.0003723322247782125,0.4967096789899203,0.0,0.5,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_5D,-5,6785,6785,-0.030362452030996606,-0.003736147147524438,-0.022813688212927757,-0.007633587786259542,-0.015180100426668217,-0.026626304883472167,-0.48626571425154425,0.8359616801768607,-0.018614664572270904,0.6991080682706989,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_5D,-3,6785,6785,-0.03590483272066715,-0.012209167033459626,-0.027689030883919063,-0.012195121951219513,-0.01549390893269955,-0.023695665687207525,-0.4072381094915589,0.8067796610169491,-0.017558961118392953,0.7410199548802899,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_5D,-1,6785,6785,-0.043697832656232796,-0.014581784437871174,-0.031189083820662766,-0.014857142857142857,-0.01633194096351991,-0.029116048218361622,-0.4718184773958301,0.8122328666175386,-0.021566428555424358,0.7407058950336466,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_5D,0,6785,6785,-0.06119379701123773,-0.027914736221920755,-0.045307443365695796,-0.022222222222222223,-0.023085221143473573,-0.03327906078931697,-0.4894383386227343,0.8138540899042003,-0.026052810179651484,0.7828589377743133,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_20D,-20,6785,6785,0.025813143520414968,0.020388413838167172,-0.0027063599458728013,-0.0038314176245210726,0.0011250576786482713,0.005424729682247796,0.037356081220955815,0.9635961680176858,0.0028486605109500863,0.5251248777007654,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_20D,-10,6785,6785,0.028788774718588483,0.02460306410104219,0.0,-0.0012610340479192938,0.0012610340479192938,0.004185710617546294,0.028331862697026224,0.9725865880619012,0.002232970221181297,0.533474581788047,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_20D,-5,6785,6785,-0.01264197062389727,0.01334780288706983,-0.023485784919653894,-0.007889546351084813,-0.01559623856856908,-0.0259897735109671,-0.20290089802682107,0.9218865143699334,-0.019776818177220237,0.7609461532581215,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_20D,-3,6785,6785,-0.030113301534483296,0.0021698424998620835,-0.03767660910518053,-0.015133876600698487,-0.022542732504482042,-0.03228314403434538,-0.26088637322127733,0.9009579955784819,-0.02520713806604788,0.7808142242660913,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_20D,-1,6785,6785,-0.05340002278495312,-0.005523809936196775,-0.052581261950286805,-0.01932367149758454,-0.03325759045270227,-0.047876212848756344,-0.39309794037527085,0.8549742078113485,-0.038265890730957236,0.7992672864882053,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RAW_CLOSE_RETURN_20D,0,6785,6785,-0.07852835511421795,-0.019188219782345153,-0.0694006309148265,-0.02766798418972332,-0.04173264672510318,-0.059340135331872795,-0.4800152657925887,0.8082535003684598,-0.046684853985694066,0.7867331903541966,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,MOMENTUM,RSI14,-20,6785,6785,50.173670483461514,49.713031526037284,49.316160566542806,48.978708224751436,0.3374523417913693,0.46063895742423,0.04028208120386558,0.9758290346352247,0.4188054201912266,0.9091836750696785,1.0,1.0,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,MOMENTUM,RSI14,-10,6785,6785,50.367445526791826,50.15094421299667,49.56510376600964,49.52070884002302,0.04439492598662298,0.21650131379515614,0.018942344405050528,0.9715549005158439,0.0911615174075564,0.4210668092934039,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
