feature_family,feature_id,relative_day,horizon,t3_median,t5_median,t10_median,monotonicity,all_outcome_derived_values_evaluation_only
TREND_STRUCTURE,ma_alignment_bearish,-3,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-1,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-1,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,0,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,0,10,0.0,0.0,0.0,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-20,5,-0.0022988505747126436,-0.0031545741324921135,-0.0021119324181626186,MIXED,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-20,10,0.0,0.0,0.0,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-10,5,0.0011013215859030838,0.0024906600249066002,0.0030864197530864196,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-10,10,-0.0016155468325886333,-0.0011467889908256881,0.0,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-5,5,-0.022813688212927757,-0.02066115702479339,-0.018963337547408345,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-5,10,-0.012313586220374276,-0.011142061281337047,-0.011570247933884297,MIXED,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-3,5,-0.027689030883919063,-0.024752475247524754,-0.019148936170212766,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-3,10,-0.017380515697486245,-0.016453382084095063,-0.013513513513513514,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-1,5,-0.031189083820662766,-0.02894356005788712,-0.027707808564231738,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,-1,10,-0.028287366411944258,-0.02761795166858458,-0.026634382566585957,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,0,5,-0.045307443365695796,-0.04365079365079365,-0.040194884287454324,NONDECREASING,True
MOMENTUM,RAW_CLOSE_RETURN_5D,0,10,-0.048031189375837974,-0.04656862745098039,-0.04580152671755725,NONDECREASING,True
