cohort,scope,horizon,N,instrument_count,topic_count,date_count,endpoint_return_mean,endpoint_return_median,endpoint_return_trimmed5_mean,endpoint_return_winsorized5_mean,mfe_mean,mfe_median,mfe_trimmed5_mean,mfe_winsorized5_mean,mae_mean,mae_median,mae_trimmed5_mean,mae_winsorized5_mean,top1_instrument_share,top5_instrument_share,top1_topic_share,top1_date_share,early_count,middle_count,late_count,concentration_disclosure
A2,MAIN_RISE,10,434,225,52,96,0.07276349298571266,0.032369942196531776,0.06071619540175924,0.07001635390924535,0.20379104739052042,0.15942028985507228,0.18756312087960594,0.19801324064789658,-0.07944821135958852,-0.0746934225195095,-0.0766370022576834,-0.07834753067089716,0.01152073732718894,0.0576036866359447,0.04838709677419355,0.0576036866359447,188,208,38,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,MATURE,10,161,119,36,66,0.07726818334545515,0.024752475247524774,0.06368376238688526,0.0699103382336617,0.1901370821733026,0.1467780429594272,0.17332460830569418,0.18187908497319372,-0.07743430946556706,-0.06399999999999995,-0.07457369788914109,-0.0753045160682234,0.018633540372670808,0.09316770186335403,0.14906832298136646,0.049689440993788817,78,68,15,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,DECLINING,10,272,135,33,90,0.03913338395530196,0.012731661231040081,0.02976805476890911,0.03338410119876519,0.16602732063101647,0.12579113924050644,0.1489587819550566,0.16027240815144503,-0.07836742448405165,-0.05886851331047499,-0.0747506370713547,-0.07745183855507974,0.022058823529411766,0.10294117647058823,0.2536764705882353,0.051470588235294115,115,118,39,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,ALL_VALID_STAGES,10,474,234,66,106,0.06289380204122845,0.032477856888020226,0.054833679100618093,0.058992486028284365,0.1935584433546508,0.14521093331291632,0.17575764827271526,0.18670754844445614,-0.08574952282080593,-0.06250751111645235,-0.07937012214002886,-0.08401475133894701,0.012658227848101266,0.05485232067510549,0.06329113924050633,0.029535864978902954,170,225,79,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,SPROUTING,10,16,13,8,15,0.06918388833095555,0.08444408397121791,0.06918388833095555,0.06174283678920658,0.22539000100596795,0.23648318938174012,0.22539000100596795,0.22342144729182492,-0.059438655753814594,-0.052566892554714896,-0.059438655753814594,-0.05915240391026861,0.125,0.5,0.3125,0.125,10,5,1,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,FERMENTING,10,58,34,20,44,0.07790966218236418,0.026937422295897222,0.07065383959086413,0.07440114601257039,0.17802751634465855,0.11675077403154635,0.1562561674607075,0.16040397405264759,-0.06504567352982822,-0.053449493473602186,-0.059300765798201774,-0.05925086053137087,0.08620689655172414,0.3448275862068966,0.13793103448275862,0.05172413793103448,32,21,5,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,MAIN_RISE,10,185,121,46,72,0.09576256594061733,0.06382978723404255,0.08888608502264082,0.09298872709108036,0.2327399893041725,0.18575063613231552,0.21675914057217968,0.22461860348683418,-0.08439056358763988,-0.055357142857142855,-0.07772875198448416,-0.08165761836657094,0.021621621621621623,0.0918918918918919,0.0972972972972973,0.05405405405405406,65,91,29,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,MATURE,10,70,51,22,43,0.0238984586504619,-0.015197568389057751,0.01760902891590554,0.026449743148282964,0.1601119186807321,0.09090909090909091,0.14233109365538305,0.1537908398062211,-0.09974846549490336,-0.09133858267716535,-0.09375192634529637,-0.09519552903349554,0.05714285714285714,0.21428571428571427,0.11428571428571428,0.08571428571428572,18,36,16,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,DECLINING,10,145,86,32,66,0.03289121394114308,0.00479655592807071,0.02705451821748428,0.028066827805134434,0.16266966712547581,0.13435813962922397,0.15327611393333096,0.15733890746027662,-0.0923822975490626,-0.06842354246190989,-0.08684677497969243,-0.09171606501244746,0.027586206896551724,0.13793103448275862,0.18620689655172415,0.034482758620689655,45,72,28,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,ALL_VALID_STAGES,10,188,78,49,55,0.08468354975876352,0.036222509702457974,0.07063341673715852,0.07917653814349052,0.20658356798457045,0.1651460306441216,0.18167628929694205,0.19367602539839496,-0.07510403171202351,-0.05426356589147286,-0.07005806826855218,-0.07514044127947336,0.031914893617021274,0.11702127659574468,0.06382978723404255,0.07446808510638298,76,94,18,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,SPROUTING,10,6,3,3,3,0.013848032851817552,0.018007202881152443,0.013848032851817552,0.013848032851817552,0.14811713018069353,0.15267175572519087,0.14811713018069353,0.14811713018069353,-0.06725246879451054,-0.053435114503816786,-0.06725246879451054,-0.06725246879451054,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2,4,0,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,FERMENTING,10,26,11,11,12,0.13336074395477804,0.1005586592178771,0.1286651937893684,0.13174893261010043,0.17664961528508163,0.22346368715083798,0.17449058045945798,0.1749346520796377,-0.05836332421443784,-0.04721030042918459,-0.05825554304391058,-0.05836094491479848,0.15384615384615385,0.5384615384615384,0.15384615384615385,0.15384615384615385,22,4,0,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,MAIN_RISE,10,84,39,27,29,0.15506535310069142,0.09282700421940948,0.14039461868716835,0.1498622462536047,0.2758288690338485,0.1921259842519685,0.2552956239281086,0.2751358835388346,-0.05587725984916051,-0.03347280334728031,-0.05274129915366127,-0.056211779831498554,0.047619047619047616,0.19047619047619047,0.07142857142857142,0.09523809523809523,38,42,4,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,MATURE,10,28,12,11,13,-0.05774577995798892,-0.04556962025316458,-0.05393613753782947,-0.0555277947074062,0.11567927205195268,0.09448818897637795,0.10875062704862307,0.11321724187281423,-0.12327539575914002,-0.12143742255266418,-0.1173773221508607,-0.12103043190246128,0.14285714285714285,0.5,0.21428571428571427,0.14285714285714285,6,18,4,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,DECLINING,10,44,19,13,19,0.020494785092131478,0.0033975084937712093,0.017261269624180797,0.017251417778136966,0.15836042517978788,0.1336353340883352,0.15379499505610725,0.15525186175284256,-0.09270187609445357,-0.0554089709762533,-0.08572404957069336,-0.09197477990471246,0.09090909090909091,0.36363636363636365,0.22727272727272727,0.09090909090909091,8,26,10,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
