entry_proxy,extension_band,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven
NEXT_SESSION_OPEN,LE_0PCT,5,26,25,18,-0.011443271852753649,-0.01065293558591146,-0.01710077501346052,-0.005054945054945137,-0.014664890562706317,0.38461538461538464,-0.20174923116099588,-0.07674427813415699,0.045705244122965505,0.16402871475523262,0.09497374497276069,0.07578980959472392,0.0214102564102564,0.14771945514584472,-0.0854118982025104,-0.06632702740297675,-0.1140338827838828,-0.025272938443670068,False
NEXT_SESSION_OPEN,LE_0PCT,10,24,23,16,-0.01208526815387343,-0.010844386435257036,-0.026818385652077753,-0.013486972360814142,-0.03577861866563456,0.4166666666666667,-0.298612210959772,-0.15331825037707392,0.074140615642592,0.3370555469795202,0.14051974301011624,0.10191256830601092,0.02415202907328884,0.20708633726041847,-0.13412390898515272,-0.12338091051697092,-0.19033221680280504,-0.03334016533442641,False
NEXT_SESSION_OPEN,GT_0_TO_1PCT,1,46,45,31,0.005605604148452425,0.0055440721075158406,-0.013526865402023126,-0.01676630248058819,-0.015949210159622685,0.30434782608695654,-0.0899703595349911,-0.042215147612915505,0.008142314097918824,0.06671847874359083,0.025271722547736547,0.009642877814435402,0.00040322580645163475,0.042151092477626384,-0.03729648431338777,-0.03373113698520458,-0.05322927650147516,-0.012243444645082535,False
NEXT_SESSION_OPEN,GT_0_TO_1PCT,3,44,43,30,0.005708162558074512,0.005587477307458788,-0.01871681414425368,-0.018907064959696573,-0.020990776721561678,0.3409090909090909,-0.11612039170506919,-0.051465749668692606,0.014779205883345192,0.06211041204495034,0.04161460795755925,0.023951691799075747,0.005059991029378763,0.05158551701370939,-0.05952106180310324,-0.049073788206236535,-0.0915740579961799,-0.026786202586038588,False
NEXT_SESSION_OPEN,GT_0_TO_1PCT,5,42,42,28,0.005672799857883467,0.005587477307458788,-0.007164743831026078,-0.00035384350553724353,-0.010321510713495283,0.5,-0.1446252896763101,-0.08777677868944589,0.03805668016194341,0.1728089580433485,0.07172519252573442,0.04065497089356007,0.007785884624119888,0.11668013869094462,-0.0774596872207926,-0.06689271396373936,-0.11046858282810273,-0.02570022266494787,False
NEXT_SESSION_OPEN,GT_0_TO_1PCT,10,37,37,24,0.005820027453720597,0.0056116722783390305,-0.01516380273717643,-0.023809523809523836,-0.02013125610834182,0.3783783783783784,-0.20299257030000936,-0.09808917197452227,0.034574468085106336,0.23244606361263984,0.09749047092326926,0.06228765571913919,0.006968641114982521,0.1383647798742138,-0.10352332923752089,-0.09706546275395034,-0.132404181184669,-0.029824561403508865,False
NEXT_SESSION_OPEN,GT_1_TO_2PCT,1,48,46,30,0.014537936471469531,0.014634233398176044,-0.00373540041897757,-0.0064705688158199215,-0.005676489302557372,0.3541666666666667,-0.0537915125401406,-0.030209452201933412,0.02270922906645112,0.06780364206633434,0.033104159948928825,0.019870162476238296,0.009762191172388246,0.0508639910813824,-0.030756536582532374,-0.02518576595459665,-0.045087758797436234,-0.01515325435938239,False
NEXT_SESSION_OPEN,GT_1_TO_2PCT,3,45,43,28,0.014498282832294379,0.014669926650366705,-0.0006635790997613183,-0.012259194395796813,-0.004111640944438547,0.4,-0.1091621866505587,-0.050351288056206034,0.04510451045104502,0.14562617552077775,0.06262434198444472,0.03313609467455625,0.011869436201780381,0.10546139359698681,-0.05340680306691241,-0.052631578947368474,-0.07009345794392519,-0.02259887005649719,False
NEXT_SESSION_OPEN,GT_1_TO_2PCT,5,44,42,27,0.014436782417681326,0.014634233398176044,0.010616092938793065,-0.015974576271186425,-0.0013507684017358473,0.4318181818181818,-0.13463370075525624,-0.060691807267149706,0.06400223989891751,0.22656783152182977,0.08352311684263614,0.048743613804608454,0.013804079956188375,0.12576799225587243,-0.06350064641939789,-0.06014003400596707,-0.09922746633326626,-0.024591679778315362,True
NEXT_SESSION_OPEN,GT_1_TO_2PCT,10,38,36,25,0.014178811382092017,0.014430409527518284,0.03647331105290759,0.0076902094087037964,0.017411074305449328,0.5526315789473685,-0.17383783783783785,-0.07329622132253721,0.07790340712556199,0.4415773678008543,0.14235916660645112,0.09490451171712122,0.03324759339397687,0.1640136236910431,-0.08647049171343998,-0.06377302502659427,-0.1192438722780467,-0.026277723090289806,False
NEXT_SESSION_OPEN,GT_2_TO_3PCT,1,56,53,30,0.025045042124638695,0.02530883025773978,-0.012441720758119888,-0.011937647010567043,-0.01430940735212685,0.35714285714285715,-0.09264026402640266,-0.03858248154457694,0.010205097570688937,0.08406697469197466,0.031081237632610087,0.02420704661477946,0.006505863895709174,0.04118676292295831,-0.03982539197750438,-0.03071453201740898,-0.05470383275261326,-0.018836766681594258,False
NEXT_SESSION_OPEN,GT_2_TO_3PCT,3,55,52,30,0.025132353527272902,0.025316455696202445,-0.016506802362098158,-0.014545454545454417,-0.024067792615621204,0.36363636363636365,-0.14715535694949983,-0.090115198810851,0.026533886056447575,0.15970354019605584,0.060823423603452574,0.032835820895522394,0.01122958257713258,0.09676197427701294,-0.07157102505446458,-0.04885993485342022,-0.12551794011808687,-0.02338850243863433,False
NEXT_SESSION_OPEN,GT_2_TO_3PCT,5,52,49,28,0.025030113256082655,0.02530883025773978,-0.009811025169443153,-0.019172692023562976,-0.02377386010379717,0.4230769230769231,-0.17600930035933204,-0.10388736238405219,0.062027821574037634,0.18449472383306395,0.08693933401363732,0.0371284257589658,0.016139155384201576,0.11790423806501665,-0.08969156168949147,-0.07566125820686687,-0.14072892114536417,-0.0332949903462825,False
NEXT_SESSION_OPEN,GT_2_TO_3PCT,10,46,43,25,0.025179649717487068,0.025623747321860457,0.048695096648918156,-0.014290271132376353,0.023425314576537272,0.45652173913043476,-0.22944680851063828,-0.0620272745144701,0.1270109968434987,0.5072799064476078,0.1614562423542598,0.10298507462686568,0.03318850950725821,0.20735969011831074,-0.11487403079026923,-0.1104741379310345,-0.1690049558449497,-0.032675009675724925,False
NEXT_SESSION_OPEN,GT_3_TO_5PCT,1,84,82,35,0.03981344569385139,0.03940089933926094,-0.017757585435914842,-0.02107237422771402,-0.01958820094959849,0.30952380952380953,-0.08569495152964875,-0.04747210647513567,0.008733590002524716,0.06808378156381656,0.03267319195147422,0.0229490022172949,0.005289497307001734,0.05581734778982478,-0.041807286432261385,-0.04068802084975354,-0.05472407705886875,-0.020636226518579437,False
NEXT_SESSION_OPEN,GT_3_TO_5PCT,3,83,81,35,0.03979446891878897,0.039399624765478425,-0.010098602891301591,-0.011869436201780381,-0.012211544185022984,0.4457831325301205,-0.1455209783257109,-0.06981402542532728,0.04971786019230051,0.15304427546783153,0.06852216823453382,0.04916067146282965,0.012485722832589974,0.10185030327357047,-0.07200596414387522,-0.06413301662707838,-0.10421434650509542,-0.029925272028561878,False
NEXT_SESSION_OPEN,GT_3_TO_5PCT,5,79,77,33,0.03938550450415569,0.039285714285714146,0.006435071383264618,-0.0014903129657226621,-0.0033571812356212503,0.4810126582278481,-0.16066255778120178,-0.08869538077403244,0.06658927817644578,0.22696351931330466,0.1008751785276172,0.06227106227106227,0.02123900458612127,0.15339577978069174,-0.08404933426510691,-0.07326007326007322,-0.12675308605506813,-0.03312387726012417,True
NEXT_SESSION_OPEN,GT_3_TO_5PCT,10,72,71,31,0.039565129368784376,0.03940089933926094,0.0227994998482069,-0.01826470056842666,0.0047361200024836365,0.4444444444444444,-0.22144089398377648,-0.09154363630010706,0.10657873310535743,0.31009304729904374,0.16710360533244575,0.1173665871997066,0.04233037947156687,0.24000495822774143,-0.10693567735812064,-0.08172601384767558,-0.15249716524069687,-0.04671694364161849,False
