feature_name,category,status,bin_definition,train_q1,train_q2,train_q3,bin,total_A1_n,success_n,failed_breakout_n,success_rate,failed_breakout_rate,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
return_3d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.022816703233807117,0.05462288247424525,0.09857958489729607,Q3,146,86,49,0.6370370370370371,0.362962962962963,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_3d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.022816703233807117,0.05462288247424525,0.09857958489729607,Q4,161,77,64,0.5460992907801419,0.45390070921985815,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_5d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.025072675522398034,0.05866786035680821,0.10090784578652205,Q1,224,140,47,0.7486631016042781,0.25133689839572193,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_5d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.025072675522398034,0.05866786035680821,0.10090784578652205,Q2,153,82,52,0.6119402985074627,0.3880597014925373,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_5d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.025072675522398034,0.05866786035680821,0.10090784578652205,Q3,146,85,47,0.6439393939393939,0.3560606060606061,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_5d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.025072675522398034,0.05866786035680821,0.10090784578652205,Q4,177,79,68,0.5374149659863946,0.46258503401360546,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_10d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.03748080690421983,0.07468779442340387,0.12902295749760578,Q1,230,147,48,0.7538461538461538,0.24615384615384617,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_10d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.03748080690421983,0.07468779442340387,0.12902295749760578,Q2,158,83,59,0.5845070422535211,0.4154929577464789,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_10d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.03748080690421983,0.07468779442340387,0.12902295749760578,Q3,146,76,51,0.5984251968503937,0.4015748031496063,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_10d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.03748080690421983,0.07468779442340387,0.12902295749760578,Q4,166,80,56,0.5882352941176471,0.4117647058823529,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_20d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.04633413461538462,0.09695074780814852,0.20908445104863202,Q1,237,144,54,0.7272727272727273,0.2727272727272727,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_20d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.04633413461538462,0.09695074780814852,0.20908445104863202,Q2,183,86,59,0.593103448275862,0.4068965517241379,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
