cohort,event_semantics,pretransition_window,horizon,pre_N,pre_outcome_n,pre_endpoint_mean,pre_endpoint_median,pre_mae_mean,pre_mae_median,d0_N,d0_outcome_n,d0_endpoint_mean,d0_endpoint_median,d0_mae_mean,d0_mae_median,pre_minus_d0_mean,pre_minus_d0_median,pre_mae_minus_d0_mean,pre_mae_minus_d0_median,d0_conditioning_disclosure,anti_leakage_status
LEGACY5,CONFIRMED_TRANSITION,D-1,10,5,5,0.1816100923830173,0.1791907514450867,-0.06911881706346075,-0.0326530612244898,15,15,0.06636340497892121,0.022546419098143235,-0.07122829972215554,-0.07268170426065163,0.1152466874040961,0.15664433234694347,0.002109482658694789,0.040028643036161826,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-3,5,0,0,,,,,4,4,-0.015072728550347816,-0.015072728550347803,-0.04907127632164522,-0.04907127632164521,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-3,10,0,0,,,,,4,4,0.02037804792354719,0.020378047923547186,-0.056590073314126424,-0.05659007331412641,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-2,5,2,2,0.16759776536312845,0.16759776536312845,-0.020484171322160166,-0.020484171322160166,4,4,-0.015072728550347816,-0.015072728550347803,-0.04907127632164522,-0.04907127632164521,0.18267049391347628,0.18267049391347626,0.028587104999485056,0.028587104999485042,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-2,10,2,2,0.1005586592178771,0.1005586592178771,-0.020484171322160166,-0.020484171322160166,4,4,0.02037804792354719,0.020378047923547186,-0.056590073314126424,-0.05659007331412641,0.0801806112943299,0.0801806112943299,0.036105901991966255,0.03610590199196624,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-1,5,0,0,,,,,4,4,-0.015072728550347816,-0.015072728550347803,-0.04907127632164522,-0.04907127632164521,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CANDIDATE_ONSET,D-1,10,0,0,,,,,4,4,0.02037804792354719,0.020378047923547186,-0.056590073314126424,-0.05659007331412641,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-3,5,0,0,,,,,10,10,-0.010770487978762563,0.012461059190031154,-0.03987160776755364,-0.04049844236760125,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-3,10,0,0,,,,,10,10,0.06382398827706195,0.0701530612244898,-0.04287912656454612,-0.04049844236760125,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-2,5,0,0,,,,,10,10,-0.010770487978762563,0.012461059190031154,-0.03987160776755364,-0.04049844236760125,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-2,10,0,0,,,,,10,10,0.06382398827706195,0.0701530612244898,-0.04287912656454612,-0.04049844236760125,,,,,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
